 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	0.256299	0.256299	1	null	null	null	-0.665	0.0695	1.06e-21	0.253348	41	41	2296	2.99	1.88757	3.59856	203.217	66.8528	34.6561	1957.1	null	1	null	null	1	1	null	1	270	267	62	57	2	null	null	2.14e-51	27.1	34.7	1960	null	63.7	63	2296	6.54	2.16976	2.0871	80.1703	75.7947	11.0149	423.109	null	null	null	null	1	1	null	1	156	156	62	57	3	1	null	6.13e-43	15.6	11	423	null	-9.57
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	-1.16e-06	0.493156	0.493156	1	null	null	null	-0.0634	0.0516	0.219	0.489308	41.3	41	1990	3.34	1.88757	1.48486	17.4021	66.8528	15.0369	176.229	null	null	null	1	1	1	null	1	84.3	86	62	51	6	null	null	2.69e-16	10.5	15	176	null	64.3	64	1990	6.54	2.16976	1.8513	30.3426	75.7947	9.29163	152.288	null	null	null	1	1	1	null	1	106	106	62	51	5	null	null	3.02e-22	13.1	9.29	152	null	-1.23
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.893986	0.893986	1	null	null	null	-0.265	0.0528	5.07e-07	0.894015	41.6	42	1962	3.44	1.88757	27.0369	1284.61	66.8528	262.056	12451.1	null	null	1	null	1	1	null	1	1350	1294	62	58	null	null	null	1.5e-47	206	262	12500	null	64.4	65	1962	6.45	2.16976	23.3421	1288.65	75.7947	122.404	6757.56	null	null	null	null	1	1	null	1	1360	1334.5	62	58	null	null	null	3.43e-51	178	122	6760	null	-5.02
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.556156	0.556156	1	null	null	null	-0.301	0.0539	2.31e-08	0.556113	41.7	42	1983	3.44	1.88757	6.92624	367.551	66.8528	66.0749	3506.36	null	null	null	null	1	1	null	1	434	434	62	57	1	null	null	1.16e-49	52.3	66.1	3510	null	64.6	65	1983	6.6	2.16976	4.79473	329.17	75.7947	25.5456	1753.77	null	null	null	null	1	1	null	1	405	403	62	57	4	1	null	5.03e-56	36.1	25.5	1750	null	-5.59
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	0.309654	0.309654	1	null	null	null	0.281	0.0535	1.58e-07	0.304916	41.8	42	2019	3.36	1.88757	1.14533	33.3767	66.8528	11.3115	329.635	null	null	null	null	1	1	null	1	100	100	62	61	null	null	null	3.25e-39	8.75	11.3	330	null	64.7	65	2019	6.8	2.16976	2.93089	122.205	75.7947	15.0834	628.912	null	null	null	null	1	1	null	1	198	196	62	61	1	null	null	1.41e-46	22.8	15.1	629	null	5.24
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.188542	0.188542	1	null	null	null	-0.000915	0.0505	0.986	0.173156	41.8	42	1995	3.33	1.88757	0.980638	20.3931	66.8528	9.96604	207.251	null	null	null	null	1	1	null	1	87.2	86	62	61	null	null	null	4.38e-31	7.43	9.97	207	null	64.6	64	1995	6.48	2.16976	1.96719	41.3529	75.7947	9.83835	206.815	null	null	null	null	1	1	null	1	117	121	62	61	1	null	null	5.2e-30	15.2	9.84	207	null	-0.0181
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.0929165	0.0929165	1	null	null	null	0.0672	0.0494	0.174	0.0903135	41.8	42	1989	3.26	1.88757	2.43525	177.314	66.8528	23.3976	1703.61	null	null	null	null	1	1	null	1	244	245	62	60	2	1	null	2.3e-60	18.8	23.4	1700	null	64.6	65	1989	6.45	2.16976	5.60634	375.955	75.7947	29.658	1988.83	null	null	null	null	1	1	null	1	452	447	62	60	null	null	null	1.32e-57	43.4	29.7	1990	null	1.36
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.0190751	0.0190751	1	null	null	null	-0.0338	0.0499	0.498	-0.000171825	41.8	42	1980	3.26	1.88757	1.14042	30.2127	66.8528	11.4878	304.341	null	null	null	null	1	1	null	1	97.1	96	62	61	null	null	null	9.92e-37	8.71	11.5	304	null	64.4	64	1980	6.41	2.16976	1.96003	55.7955	75.7947	9.88966	281.526	null	null	null	null	1	1	null	1	132	131	62	61	2	null	null	1.84e-37	15.2	9.89	282	null	-0.678
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	4.35e-06	0.183293	0.183293	null	null	null	null	0	1000	1	0.147416	41.8	42	1977	3.35	1.88757	0.778483	-0.886168	66.8528	6.49555	-7.39407	null	null	null	null	1	null	null	null	66	65	62	60	null	null	null	0.258797	5.74	6.5	-7.39	null	64.3	64	1977	6.42	2.16976	1.17705	3.85535	75.7947	7.16996	23.4848	null	null	null	null	1	1	null	null	79.7	80.5	62	60	1	null	null	0.00168481	8.86	7.17	23.5	null	0
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.285302	0.285302	1	null	null	null	-0.0678	0.0496	0.172	0.280867	41.9	42	1931	3.11	1.88757	1.8444	56.4575	66.8528	18.1404	555.281	null	null	null	null	1	1	null	1	123	122.5	62	58	2	null	null	6.85e-38	13.9	18.1	555	null	64.1	64	1931	6.45	2.16976	2.88072	91.9122	75.7947	14.8868	474.977	null	null	null	null	1	1	null	1	168	163	62	58	null	null	null	1.68e-38	21.8	14.9	475	null	-1.37
