 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	-0.075627	-0.075627	1	null	null	null	-1.3	0.11	1.9e-32	-0.0857988	46.1	46	2308	3.6	1.81738	3.60171	209.937	54.2704	40.6664	2370.36	null	null	null	null	1	1	null	1	264	259	67	58	1	null	null	8.47e-53	27.4	40.7	2370	null	65.2	65	2308	6.53	2.78804	1.69622	32.0912	68.3571	6.21222	117.531	null	null	null	null	1	1	null	1	100	100	67	58	null	null	null	2.14e-27	12.7	6.21	118	null	-11.9
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	1.3e-05	-0.0876961	-0.0876961	null	null	null	null	-0.529	0.39	0.175	-0.203478	46.5	46	2001	3.63	1.81738	0.599759	1.32284	54.2704	6.99705	15.4329	null	null	null	null	1	null	null	null	55.6	56	67	59	null	null	null	0.0304254	4.28	7	15.4	null	65.3	65	2001	6.59	2.78804	0.948797	1.28702	68.3571	3.363	4.56181	null	null	null	null	1	null	null	null	69.6	68	67	59	null	1	null	0.179019	6.8	3.36	4.56	null	-1.36
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.932413	0.932413	1	null	null	null	-0.131	0.0501	0.00876	0.932427	46.6	47	1973	3.6	1.81738	29.1498	1479.3	54.2704	316.873	16080.8	null	null	1	null	1	1	null	1	1530	1491	67	61	null	null	null	5.38e-51	228	317	16100	null	64.8	65	1973	6.48	2.78804	52.9267	3124.87	68.3571	201.334	11887	null	null	null	null	1	1	null	1	3190	3123	67	61	2	null	null	7.31e-55	413	201	11900	null	-2.62
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.723076	0.723076	1	null	null	null	0.301	0.0539	2.19e-08	0.724446	46.5	46	1962	3.57	1.81738	2.75211	147.747	54.2704	31.3849	1684.9	null	null	null	null	1	1	null	1	202	201.5	67	58	4	null	null	5.52e-51	20.9	31.4	1680	null	64.7	65	1962	6.43	2.78804	15.8407	930.264	68.3571	57.4396	3373.2	null	null	null	null	1	1	null	1	999	964.5	67	58	3	null	null	1.01e-52	121	57.4	3370	null	5.6
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	0.392108	0.392108	1	null	null	null	-0.117	0.0501	0.0201	0.387197	46.6	47	1968	3.61	1.81738	1.41117	50.0903	54.2704	15.8991	564.347	null	null	null	null	1	1	null	1	104	104	67	61	2	null	null	2.19e-43	10.9	15.9	564	null	64.7	64	1968	6.53	2.78804	2.88232	117.577	68.3571	10.5789	431.541	null	null	null	null	1	1	null	1	186	178	67	61	null	null	null	2.41e-46	22.4	10.6	432	null	-2.33
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.280712	0.280712	1	null	null	null	-0.086	0.0516	0.0951	0.248755	46.5	46	1982	3.6	1.81738	0.6277	17.0454	54.2704	6.98213	189.602	null	null	null	null	1	1	null	1	71.3	71	67	57	2	null	null	1.55e-39	4.43	6.98	190	null	64.5	64	1982	6.87	2.78804	1.48227	41.8359	68.3571	5.51039	155.527	null	null	null	null	1	1	null	1	110	111	67	57	1	1	null	3.48e-37	10.9	5.51	156	null	-1.67
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	-0.00487328	-0.00487328	1	null	null	null	0.0284	0.0492	0.564	-0.0103385	46.4	46	2009	3.59	1.81738	1.89682	114.513	54.2704	21.9279	1323.81	null	null	null	null	1	1	null	1	169	166	67	60	1	null	null	7.22e-56	14.6	21.9	1320	null	64.7	64	2009	6.84	2.78804	4.95687	395.11	68.3571	17.7308	1413.31	null	null	null	null	1	1	null	1	463	466	67	60	null	null	null	3.15e-62	38.3	17.7	1410	null	0.577
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.237006	0.237006	1	null	null	null	0.09	0.05	0.0721	0.227647	46.4	46	2001	3.51	1.81738	0.966253	29.3503	54.2704	10.8652	330.034	null	null	null	null	1	1	null	1	83.6	85	67	58	3	null	null	1.77e-39	7.16	10.9	330	null	64.4	64	2001	6.77	2.78804	3.114	110.402	68.3571	11.4515	405.995	null	null	null	null	1	1	null	1	179	179.5	67	58	null	null	null	3.46e-41	23.6	11.5	406	null	1.8
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	1.45e-05	0.0169414	0.0169414	null	null	null	null	-0.505	0.288	0.0789	-0.084707	46.4	46	1980	3.62	1.81738	0.566749	1.69453	54.2704	6.55645	19.6032	null	null	null	null	1	1	null	null	56	56	67	57	1	1	null	0.00375838	3.94	6.56	19.6	null	64.8	65	1980	6.5	2.78804	0.988665	1.71312	68.3571	3.53397	6.12354	null	null	null	null	1	null	null	null	70.1	69	67	57	null	null	null	0.087479	7.01	3.53	6.12	null	-1.76
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	-0.153013	-0.153013	1	null	null	null	-0.0566	0.0495	0.253	-0.169699	46.6	47	1977	3.63	1.81738	1.51248	57.2569	54.2704	17.103	647.46	null	null	null	null	1	1	null	1	112	112	67	55	1	null	null	8.86e-42	11.1	17.1	647	null	64.7	65	1977	6.45	2.78804	2.51071	155.425	68.3571	9.18129	568.364	null	null	null	null	1	1	null	1	224	223	67	55	1	1	null	2.79e-53	18.4	9.18	568	null	-1.14
