 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	-0.0786237	-0.0786237	1	null	null	null	-1.35	0.113	8.31e-33	-0.082486	47.4	47	2327	3.76	1.6729	3.66294	239.407	67.1086	46.0906	3012.44	null	null	null	null	1	1	null	1	307	303	62	64	null	null	null	6.57e-60	29.3	46.1	3010	null	64.4	64	2327	6.47	1.14651	1.27262	18.888	69.1901	9.01945	133.865	null	null	null	null	1	1	null	1	88.1	86	62	64	null	null	null	1.67e-22	10.1	9.02	134	null	-11.9
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	1.27e-05	0.00932523	0.00932523	null	null	null	null	-1.05	0.315	0.000865	-0.00118787	47.6	48	1987	3.78	1.6729	1.16094	9.74595	67.1086	15.331	128.702	null	null	null	1	1	1	null	1	76.9	75	62	55	5	null	null	1.38e-11	8.46	15.3	129	null	64.6	65	1987	6.51	1.14651	1.21886	1.7008	69.1901	8.23109	11.4857	null	null	null	null	1	null	null	null	70.9	71	62	55	null	null	null	0.168447	8.97	8.23	11.5	null	-3.33
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.862661	0.862661	1	null	null	null	-0.302	0.0539	2.12e-08	0.862697	47.9	48	2000	3.87	1.6729	20.7135	1067.51	67.1086	266.368	13727.8	null	null	null	null	1	1	null	1	1130	1084	62	63	1	null	null	1.27e-52	164	266	13700	null	64.6	65	2000	6.53	1.14651	16.2132	988.032	69.1901	112.435	6851.81	null	null	null	null	1	1	null	1	1060	1017	62	63	null	null	null	4.76e-57	129	112	6850	null	-5.6
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.849683	0.849683	1	null	null	null	0.098	0.0497	0.0484	0.850088	47.8	48	1993	3.71	1.6729	5.92726	358.86	67.1086	76.4496	4628.57	null	null	null	null	1	1	null	1	426	416	62	64	null	null	null	1.18e-57	47.4	76.4	4630	null	65	65	1993	6.79	1.14651	12.7155	838.951	69.1901	87.9174	5800.66	null	null	null	null	1	1	null	1	908	885	62	64	null	null	null	7.11e-60	102	87.9	5800	null	1.97
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	0.339489	0.339489	1	null	null	null	0.136	0.0506	0.00727	0.342428	48	48	2010	3.78	1.6729	0.894699	24.2581	67.1086	11.5573	313.354	null	null	null	null	1	1	null	1	91.4	92	62	60	1	2	null	1.66e-37	6.73	11.6	313	null	65	65	2010	6.81	1.14651	2.18313	62.0432	69.1901	15.0717	428.33	null	null	null	null	1	1	null	1	131	131	62	60	null	null	null	2.52e-36	16.9	15.1	428	null	2.68
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.167986	0.167986	1	null	null	null	-0.0987	0.0513	0.0543	0.160933	47.8	48	1993	3.8	1.6729	0.884227	17.1011	67.1086	11.061	213.92	null	null	null	null	1	1	null	1	84.2	84	62	62	null	null	null	1.9e-29	6.76	11.1	214	null	65.3	65	1993	7.02	1.14651	1.31878	23.9067	69.1901	9.40171	170.433	null	null	null	null	1	1	null	1	93.1	94	62	62	null	null	null	1.41e-26	10.3	9.4	170	null	-1.92
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.233378	0.233378	1	null	null	null	0.0396	0.0492	0.422	0.23347	47.6	48	1959	3.75	1.6729	1.66122	156.61	67.1086	21.0856	1987.83	null	null	null	null	1	1	null	1	224	223	62	64	null	null	null	2.49e-71	13.2	21.1	1990	null	65.2	65	1959	6.95	1.14651	4.59865	309.904	69.1901	32.3098	2177.36	null	null	null	null	1	1	null	1	379	376.5	62	64	null	null	null	1.59e-60	36.8	32.3	2180	null	0.803
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.335636	0.335636	1	null	null	null	0.00716	0.0495	0.885	0.335644	47.4	47	1996	3.69	1.6729	1.27743	33.0439	67.1086	16.575	428.754	null	null	null	null	1	1	null	1	100	100	62	59	2	null	null	1.1e-34	9.68	16.6	429	null	64.7	65	1996	6.62	1.14651	2.13625	63.4201	69.1901	14.6825	435.886	null	null	null	null	1	1	null	1	133	133	62	59	1	null	null	5.5e-37	16.4	14.7	436	null	0.145
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	6.96e-06	0.0920983	0.0920983	null	null	null	null	-0.236	0.184	0.201	0.0753664	47.4	47	2020	3.7	1.6729	0.752009	2.45504	67.1086	10.223	33.3745	null	null	null	null	1	1	null	null	69.6	68	62	55	3	null	null	0.00176967	5.35	10.2	33.4	null	64.9	65	2020	6.83	1.14651	0.955545	2.95535	69.1901	6.2684	19.3872	null	null	null	null	1	1	null	null	72.1	71	62	55	1	null	null	0.00307715	7	6.27	19.4	null	-1.28
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.318451	0.318451	1	null	null	null	-0.0476	0.0494	0.336	0.318763	47.5	47	2007	3.72	1.6729	1.2448	52.33	67.1086	15.6876	659.486	null	null	null	null	1	1	null	1	119	119	62	57	2	null	null	7.09e-46	9.26	15.7	659	null	64.9	65	2007	6.81	1.14651	2.41388	83.5292	69.1901	17.0814	591.08	null	null	null	null	1	1	null	1	153	152	62	57	null	null	null	1.11e-39	18.2	17.1	591	null	-0.962
