 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSpatialDetrendIsInFilteredSet	Feature Extraction Software:gSpatialDetrendSurfaceValue	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSpatialDetrendIsInFilteredSet	Feature Extraction Software:rSpatialDetrendSurfaceValue	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	-0.0161605	-0.0161605	1	null	null	null	-1.14	0.0985	6.77e-31	-0.0158091	43	43	2308	3.08	0.824494	2.13606	268.792	56.626	21.2589	2675.12	null	null	null	null	1	1	null	1	325	322	63	55	1	2	null	1.31e-68	15.8	21.3	2680	null	null	null	61.6	61	2308	6.13	0.969739	1.0594	17.9649	65.0533	11.4597	194.329	null	null	null	null	1	1	null	1	83	82	63	55	1	1	null	1.32e-23	7.8	11.5	194	null	null	null	-11.6
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	-5.85e-06	-0.0158705	-0.0158705	null	null	null	null	-0.34	0.142	0.0165	-0.0141384	42.9	43	1967	3.13	0.824494	0.635303	4.4573	56.626	7.72008	54.1642	null	null	null	1	1	1	null	1	61.1	61	63	60	null	null	null	1.98e-09	4.85	7.72	54.2	null	null	null	61.5	61	1967	6.04	0.969739	0.814156	2.7967	65.0533	7.21286	24.7768	null	null	null	null	1	1	null	1	67.9	68	63	60	2	null	null	0.00106451	6.24	7.21	24.8	null	null	null	-2.4
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.572226	0.572226	1	null	null	null	0.102	0.0497	0.0398	0.572282	42.9	43	1942	3.07	0.824494	11.7448	1222.27	56.626	108.507	11292.2	null	null	null	null	1	1	null	1	1280	1275	63	59	4	null	null	1.2e-67	90.2	109	11300	null	null	null	61.6	61	1942	6.26	0.969739	12.788	1226.08	65.0533	149.015	14287.2	null	null	null	null	1	1	null	1	1290	1280	63	59	1	null	null	1.35e-65	98.2	149	14300	null	null	null	2.06
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.160169	0.160169	1	null	null	null	0.475	0.0603	3.31e-15	0.160658	42.9	43	1958	3.06	0.824494	1.66494	119.238	56.626	16.2891	1166.58	null	null	null	null	1	1	null	1	176	174	63	59	3	null	null	1.21e-58	12.8	16.3	1170	null	null	null	61.7	62	1958	6.39	0.969739	5.03144	316.337	65.0533	55.3645	3480.88	null	null	null	null	1	1	null	1	381	376	63	59	1	null	null	4.15e-55	38.6	55.4	3480	null	null	null	7.88
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	-0.0424408	-0.0424408	1	null	null	null	-0.0262	0.0496	0.598	-0.0421423	42.9	43	1961	3.07	0.824494	1.07531	35.7674	56.626	11.4029	379.287	null	null	null	null	1	1	null	1	92.4	91	63	61	null	null	null	7.31e-41	8.36	11.4	379	null	null	null	61.9	62	1961	6.37	0.969739	1.6311	35.1762	65.0533	16.5593	357.115	null	null	null	null	1	1	null	1	100	98	63	61	1	null	null	3.84e-30	12.7	16.6	357	null	null	null	-0.527
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.241119	0.241119	1	null	null	null	0.0122	0.0507	0.809	0.245735	42.8	43	1962	3.1	0.824494	0.69248	18.0406	56.626	7.50529	195.529	null	null	null	null	1	1	null	1	74.7	75	63	60	null	2	null	5.3e-35	5.3	7.51	196	null	null	null	61.9	62	1962	6.46	0.969739	1.50437	20.2467	65.0533	14.9428	201.11	null	null	null	null	1	1	null	1	85.3	83.5	63	60	null	null	null	9.51e-20	11.6	14.9	201	null	null	null	0.241
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.0270822	0.0270822	1	null	null	null	0.119	0.0499	0.0172	0.0273066	42.8	43	1987	3.04	0.824494	2.24095	140.269	56.626	22.1279	1385.06	null	null	null	null	1	1	null	1	197	197	63	57	null	null	null	1.07e-53	16.9	22.1	1390	null	null	null	62	62	1987	6.53	0.969739	2.82981	167.052	65.0533	30.8525	1821.31	null	null	null	null	1	1	null	1	232	228	63	57	1	null	null	2.88e-52	21.3	30.9	1820	null	null	null	2.38
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.172983	0.172983	1	null	null	null	-0.131	0.0504	0.0095	0.174523	42.7	43	1998	3.36	0.824494	1.49523	46.6498	56.626	15.7764	492.211	null	null	null	null	1	1	null	1	103	104	63	58	null	null	null	9.34e-38	11.4	15.8	492	null	null	null	61.9	62	1998	6.41	0.969739	1.44698	35.7053	65.0533	14.7639	364.311	null	null	null	null	1	1	null	1	101	101	63	58	1	1	null	2.19e-32	11	14.8	364	null	null	null	-2.59
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	-3.27e-07	0.29159	0.29159	null	null	null	null	-0.188	0.0943	0.0462	0.299227	42.6	43	2027	3.41	0.824494	0.758297	4.86488	56.626	9.01882	57.8605	null	null	null	1	1	1	null	1	61.5	62	63	55	1	null	null	3.17e-08	5.57	9.02	57.9	null	null	null	62	62	2027	6.61	0.969739	0.842701	4.1467	65.0533	7.62787	37.5346	null	null	null	null	1	1	null	1	69.2	70	63	55	2	null	null	7.87e-06	6.18	7.63	37.5	null	null	null	-1.99
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.226637	0.226637	1	null	null	null	-0.0557	0.0494	0.26	0.227472	42.6	42	1965	3.4	0.824494	2.04442	71.6406	56.626	20.4236	715.685	null	null	null	null	1	1	null	1	128	126	63	60	null	null	null	2.46e-41	15.8	20.4	716	null	null	null	62	62	1965	6.23	0.969739	2.32025	58.4134	65.0533	25.0041	629.491	null	null	null	null	1	1	null	1	123	122	63	60	null	null	null	2.31e-33	17.9	25	629	null	null	null	-1.13
