 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	0.419284	0.0718976	0.0718976	1	null	null	null	-1.73718	0.141615	1.36e-34	0.0685487	45.259	45	1699	3.51139	2.33283	3.90141	244.347	66.0194	61.478	3850.4	null	1	null	null	1	1	null	1	310.367	306	65	60	1	null	null	3.96e-56	30.137	61.478	3850.4	null	54.7022	55	1699	4.66658	0.983411	0.91424	5.91886	59.1978	10.8931	70.5226	null	null	null	null	1	1	null	1	65.1167	65	65	60	2	null	null	1.83e-08	7.01836	10.8931	70.5226	null
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	0.419284	0.0362138	0.0362138	null	null	null	null	-2	2	1	0.0131542	45.3972	45	1697	3.52504	2.33283	0.798123	1.68057	66.0194	15.5712	32.7875	null	1	null	null	1	null	null	null	67.7	67.5	65	60	null	null	null	0.0385114	5.76165	15.5712	32.7875	null	54.6965	55	1697	4.79206	0.983411	0.769043	-0.514478	59.1978	7.40098	-4.95114	null	null	null	null	1	null	null	null	58.6833	60	65	60	null	null	null	0.505987	5.88158	7.40098	-4.95114	null
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	0.419284	0.907804	0.907804	1	null	null	null	-0.15906	0.0504916	0.00163143	0.908077	45.5427	45	1697	3.52025	2.33283	10.6456	649.82	66.0194	201.871	12322.5	null	null	null	null	1	1	null	1	715.839	694.5	65	56	2	null	null	2.82e-52	79.6346	201.871	12322.5	null	54.6918	55	1697	4.90823	0.983411	15.0998	862.891	59.1978	149.504	8543.56	null	null	null	null	1	1	null	1	922.089	902	65	56	2	null	null	1.13e-50	112.993	149.504	8543.56	null
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	0.419284	0.612229	0.612229	1	null	null	null	-0.054004	0.0493088	0.27342	0.614879	45.5694	45	1707	3.50486	2.33283	2.59538	112.209	66.0194	48.1592	2082.11	null	null	null	null	1	1	null	1	178.228	177	65	57	3	null	null	1.69e-45	19.4725	48.1592	2082.11	null	54.744	55	1707	4.88431	0.983411	3.80707	181.714	59.1978	38.5213	1838.66	null	null	null	null	1	1	null	1	240.912	237	65	57	2	null	null	4.01e-47	28.728	38.5213	1838.66	null
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	0.419284	0.035614	0.035614	1	null	null	null	0.697413	0.0722648	4.88e-22	0.0249663	45.6072	46	1693	3.53016	2.33283	0.658895	6.49782	66.0194	8.11394	80.0171	null	null	null	null	1	1	null	1	72.5172	73	65	58	2	null	null	1.2e-15	4.50824	8.11394	80.0171	null	54.7744	55	1693	4.87526	0.983411	1.69608	26.147	59.1978	25.8594	398.653	null	null	null	null	1	1	null	1	85.3448	85.5	65	58	null	null	null	4.22e-22	12.8835	25.8594	398.653	null
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	0.419284	0.0684165	0.0684165	null	null	null	null	-0.234736	0.0718	0.00107814	0.0548303	45.7041	46	1700	3.53942	2.33283	1.17321	12.9065	66.0194	13.7346	151.095	null	null	null	null	1	1	null	1	78.9259	78	65	54	null	null	null	5.24e-16	8.35498	13.7346	151.095	null	54.6088	54	1700	4.82994	0.983411	0.792662	5.48737	59.1978	12.7127	88.0062	null	null	null	null	1	1	null	1	64.6852	65.5	65	54	3	1	null	4.81e-09	5.75547	12.7127	88.0062	null
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	0.419284	0.0530351	0.0530351	1	null	null	null	-0.0523745	0.0493194	0.28826	0.0504253	45.8152	46	1694	3.4768	2.33283	1.83771	75.8619	66.0194	33.5894	1386.59	null	null	null	null	1	1	null	1	141.881	142	65	59	null	2	null	2.93e-46	13.9396	33.5894	1386.59	null	54.5484	54	1694	4.8422	0.983411	2.43936	119.65	59.1978	25.0576	1229.07	null	null	null	null	1	1	null	1	178.847	176	65	59	2	null	null	4.26e-49	18.7136	25.0576	1229.07	null
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	0.419284	0.112254	0.112254	1	null	null	null	0.289805	0.0543273	9.59e-08	0.104505	45.8674	46	1704	3.56321	2.33283	0.863049	13.5806	66.0194	11.7475	184.854	null	null	null	null	1	1	null	1	79.6	81	65	60	1	null	null	2.77e-25	6.29824	11.7475	184.854	null	54.5657	54	1704	4.85809	0.983411	1.19836	26.1189	59.1978	16.5297	360.274	null	null	null	null	1	1	null	1	85.3167	85	65	60	1	null	null	2.89e-30	9.23422	16.5297	360.274	null
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	0.419284	0.168925	0.168925	null	null	null	null	-0.472861	0.534099	0.375972	0.159349	45.8965	46	1710	3.58045	2.33283	0.606846	1.80514	66.0194	8.5623	25.4696	null	null	null	null	1	1	null	null	67.8246	68	65	57	3	null	null	0.00379404	4.02724	8.5623	25.4696	null	54.617	54	1710	4.93125	0.983411	0.799646	0.644294	59.1978	10.6408	8.57355	null	null	null	null	1	null	null	null	59.8421	59	65	57	null	null	null	0.423656	5.96654	10.6408	8.57355	null
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	0.419284	0.0736505	0.0736505	1	null	null	null	-0.154958	0.0508632	0.00231475	0.0662056	45.8453	46	1707	3.58052	2.33283	1.19028	29.4639	66.0194	17.6687	437.367	null	null	null	null	1	1	null	1	95.4833	94.5	65	60	null	null	null	3.05e-35	8.94331	17.6687	437.367	null	54.6508	54	1707	4.9301	0.983411	1.27858	24.2022	59.1978	16.1719	306.117	null	null	null	null	1	1	null	1	83.4	84	65	60	1	null	null	5.29e-27	9.85866	16.1719	306.117	null
