 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	0.185859	0.185859	1	null	null	null	-0.818	0.0781	1.2e-25	0.132701	44.8	45	2373	3.84	3.69217	2.48973	151.763	65.8274	26.5683	1619.49	null	1	null	null	1	1	null	1	218	218	67	61	null	null	null	1.86e-58	19.1	26.6	1620	null	66.1	66	2373	6.95	6.40553	1.92338	45.9205	76.4566	10.3152	246.274	null	null	null	null	1	1	null	1	122	123	67	61	2	null	null	5.53e-39	13.7	10.3	246	null	-10.5
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	-2.07e-06	0.335872	0.335872	null	null	null	null	-0.0993	0.142	0.484	0.0130721	45.8	46	2014	3.72	3.69217	0.758456	2.76279	65.8274	8.12888	29.6107	null	null	null	null	1	1	null	null	68.6	69	67	61	null	null	null	0.000409032	4.76	8.13	29.6	null	66.2	66	2014	6.96	6.40553	1.28467	4.41225	76.4566	6.85983	23.5605	null	null	null	null	1	1	null	null	80.9	80	67	61	null	null	null	0.000825767	7.96	6.86	23.6	null	-0.701
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.892718	0.892718	1	null	null	null	-0.0829	0.0495	0.0941	0.89271	46.4	46	1974	3.71	3.69217	16.2495	1148.5	65.8274	175.615	12412.3	null	null	null	null	1	1	null	1	1210	1196	67	61	null	null	null	1.5e-59	127	176	12400	null	66.2	66	1974	7.17	6.40553	29.4862	1936.66	76.4566	156.143	10255.5	null	null	null	null	1	1	null	1	2010	1974	67	61	null	null	null	1.18e-57	230	156	10300	null	-1.67
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.376187	0.376187	1	null	null	null	-0.372	0.0562	3.6e-11	0.361342	46.5	46	1963	3.75	3.69217	2.96757	280.191	65.8274	31.362	2961.12	null	null	null	null	1	1	null	1	346	347	67	55	5	2	null	6.32e-64	21.8	31.4	2960	null	66.4	66	1963	7.11	6.40553	4.30065	232.143	76.4566	23.2893	1257.12	null	null	null	null	1	1	null	1	309	303	67	55	4	null	null	4.31e-51	31.4	23.3	1260	null	-6.62
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	0.223158	0.223158	1	null	null	null	0.329	0.055	2.33e-09	0.146472	46.5	46	1953	3.76	3.69217	0.984114	26.4709	65.8274	10.4969	282.347	null	null	null	null	1	1	null	1	92.3	93	67	57	2	null	null	3.03e-43	6.6	10.5	282	null	66.4	66	1953	6.98	6.40553	3.35841	112.157	76.4566	18.0195	601.778	null	null	null	null	1	1	null	1	189	187	67	57	1	null	null	1.55e-41	24.7	18	602	null	5.97
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.184861	0.184861	1	null	null	null	-0.0991	0.0519	0.0565	0.0176758	46.5	46	1962	3.74	3.69217	0.977791	16.7792	65.8274	10.5172	180.479	null	null	null	null	1	1	null	1	82.6	84	67	61	null	null	null	3.04e-30	6.78	10.5	180	null	66.2	66	1962	6.9	6.40553	1.91375	27.0024	76.4566	10.1825	143.672	null	null	null	null	1	1	null	1	103	103	67	61	null	null	null	8.2e-24	13.6	10.2	144	null	-1.91
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.036735	0.036735	1	null	null	null	-0.0259	0.0492	0.598	0.00118486	46.4	46	1940	3.66	3.69217	2.32551	125.887	65.8274	25.2188	1365.17	null	null	null	null	1	1	null	1	192	193	67	63	null	null	null	6.16e-57	18.1	25.2	1370	null	66.1	66	1940	7.01	6.40553	3.85524	243.702	76.4566	20.3455	1286.11	null	null	null	null	1	1	null	1	320	322	67	63	null	null	null	1.11e-61	30	20.3	1290	null	-0.527
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.18296	0.18296	1	null	null	null	0.337	0.0552	1.01e-09	0.116096	46.5	46	1949	3.63	3.69217	1.14526	31.4485	65.8274	12.3421	338.91	null	null	null	null	1	1	null	1	97.3	96.5	67	58	null	null	null	1.03e-41	8.02	12.3	339	null	66	66	1949	6.88	6.40553	3.53182	138.699	76.4566	18.7559	736.566	null	null	null	null	1	1	null	1	215	214.5	67	58	3	null	null	5.85e-46	26.2	18.8	737	null	6.11
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	1.17e-05	0.557109	0.557109	null	null	null	null	0.452	0.293	0.122	0.356522	46.5	46	1958	3.65	3.69217	0.723907	0.926729	65.8274	7.74516	9.91518	null	null	null	null	1	null	null	null	66.8	67	67	61	2	null	null	0.203007	4.42	7.75	9.92	null	66	66	1958	6.97	6.40553	1.32896	5.24832	76.4566	7.10868	28.0735	null	null	null	null	1	1	null	null	81.7	82	67	61	null	null	null	0.000137463	8.39	7.11	28.1	null	1.54
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.0706757	0.0706757	1	null	null	null	-0.1	0.0499	0.0446	-0.0126058	46.6	46	1974	3.69	3.69217	1.49202	53.0245	65.8274	16.0851	571.646	null	null	null	null	1	1	null	1	119	117	67	54	null	null	null	1.04e-43	10.5	16.1	572	null	66.1	66	1974	6.95	6.40553	2.60419	85.4878	76.4566	13.8244	453.813	null	null	null	null	1	1	null	1	162	162.5	67	54	6	null	null	1.45e-41	18.3	13.8	454	null	-2.01
