 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	0.0114681	0.0114681	1	null	null	null	-1.21	0.103	1.17e-31	0.0115648	48.5	48	2317	3.84	1.17515	3.0832	291.035	62.1715	33.7881	3189.39	null	1	null	null	1	1	null	1	353	350	67	63	null	null	null	6.25e-69	24.4	33.8	3190	null	66.1	66	2317	6.59	2.08512	1.26507	33.4685	79.0395	7.40632	195.94	null	null	null	null	1	1	null	1	113	113	67	63	null	null	null	2.9e-37	9.84	7.41	196	null	-11.7
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	1.02e-05	-0.00590198	-0.00590198	null	null	null	null	0	1000	1	-0.00754544	49.3	49	2002	3.9	1.17515	0.506447	-0.421489	62.1715	15.4653	-12.871	null	null	null	null	1	null	null	null	61.8	62.5	67	56	2	2	null	0.408334	3.63	15.5	-12.9	null	66.3	66	2002	6.85	2.08512	1.05024	6.35341	79.0395	2.20653	13.3484	null	null	null	null	1	1	null	1	85.4	83.5	67	56	2	null	null	9.23e-08	7.62	2.21	13.3	null	0
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.828555	0.828555	1	null	null	null	0.0331	0.0492	0.501	0.828637	49.8	50	1987	3.97	1.17515	14.3102	880.062	62.1715	157.923	9712.05	null	null	null	null	1	1	null	1	942	914.5	67	60	1	null	null	3.22e-55	111	158	9710	null	66.4	66	1987	6.8	2.08512	25.3645	1802.81	79.0395	147.461	10481	null	null	null	null	1	1	null	1	1880	1853	67	60	null	null	null	7.04e-59	196	147	10500	null	0.673
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.666993	0.666993	1	null	null	null	0.0292	0.0492	0.553	0.667378	50	50	2002	4	1.17515	6.32562	343.912	62.1715	68.9173	3746.9	null	null	null	null	1	1	null	1	406	395.5	67	60	1	null	null	3.81e-52	49	68.9	3750	null	66.4	66	2002	6.71	2.08512	9.84494	680.461	79.0395	57.9745	4007.07	null	null	null	null	1	1	null	1	760	762.5	67	60	1	null	null	3.2e-58	76.2	58	4010	null	0.593
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	0.140627	0.140627	1	null	null	null	-0.134	0.0504	0.00796	0.142847	49.9	50	2020	3.94	1.17515	1.14296	45.9535	62.1715	12.9372	520.147	null	null	null	null	1	1	null	1	108	109	67	56	1	3	null	2.1e-43	8.49	12.9	520	null	66.2	66	2020	6.73	2.08512	1.83507	67.4427	79.0395	10.4015	382.276	null	null	null	null	1	1	null	1	146	146	67	56	2	1	null	1.82e-41	13.6	10.4	382	null	-2.65
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.0852078	0.0852078	1	null	null	null	0.0605	0.0505	0.231	0.086896	49.8	50	1979	3.77	1.17515	0.847594	18.4092	62.1715	9.73699	211.481	null	null	null	null	1	1	null	1	80.6	82	67	62	null	null	null	2.14e-31	6.58	9.74	211	null	66.4	66	1979	6.53	2.08512	1.85591	43.5251	79.0395	10.365	243.082	null	null	null	null	1	1	null	1	123	123.5	67	62	null	null	null	6.22e-33	14.5	10.4	243	null	1.2
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.118645	0.118645	1	null	null	null	0.0262	0.0492	0.594	0.119091	49.7	50	1974	3.74	1.17515	1.91244	152.662	62.1715	21.2704	1697.93	null	null	null	null	1	1	null	1	215	212.5	67	60	1	null	null	2.36e-62	14.8	21.3	1700	null	66.2	66	1974	6.68	2.08512	4.67002	312.661	79.0395	26.9389	1803.58	null	null	null	null	1	1	null	1	392	390	67	60	null	1	null	1.3e-57	36.1	26.9	1800	null	0.533
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.343732	0.343732	1	null	null	null	-0.217	0.0519	2.79e-05	0.348263	49.6	50	1980	3.73	1.17515	1.22439	55.8285	62.1715	13.7811	628.372	null	null	null	null	1	1	null	1	118	118	67	60	1	null	null	1.23e-48	9.42	13.8	628	null	66.1	66	1980	6.77	2.08512	2.18887	66.8272	79.0395	12.4769	380.927	null	null	null	null	1	1	null	1	146	144	67	60	null	null	null	1.65e-38	16.8	12.5	381	null	-4.19
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	6.71e-06	0.115312	0.115312	null	null	null	1	0	1000	1	0.120135	49.4	49	1951	3.79	1.17515	0.726767	-0.105916	62.1715	22.1932	-3.23434	null	null	null	null	1	null	null	null	62.1	63	67	61	null	null	null	0.884582	5.56	22.2	-3.23	null	65.8	66	1951	6.46	2.08512	1.10029	0.632679	79.0395	2.3117	1.32925	null	null	null	null	1	null	null	null	79.7	78	67	61	null	null	null	0.567216	8.36	2.31	1.33	null	0
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.202916	0.202916	1	null	null	null	-0.0956	0.0498	0.0549	0.204639	49.5	49	1985	3.77	1.17515	1.43656	63.8941	62.1715	15.946	709.231	null	null	null	null	1	1	null	1	126	125	67	61	null	null	null	2.58e-48	11.2	15.9	709	null	65.8	66	1985	6.47	2.08512	2.79797	98.4687	79.0395	16.172	569.142	null	null	null	null	1	1	null	1	178	179	67	61	null	1	null	3.15e-42	21.8	16.2	569	null	-1.92
