 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	-0.208723	-0.208723	1	null	null	null	-1.28	0.108	3.08e-32	-0.213072	42	42	2300	3.03	1.2617	4.67385	315.084	62.9503	47.706	3216.06	null	null	null	null	1	1	null	1	378	373	64	59	null	null	null	6.85e-57	35.9	47.7	3220	null	63.5	64	2300	6.42	1.68009	1.37069	35.2947	68.8747	6.60218	170.004	null	null	null	null	1	1	null	1	104	103	64	59	2	2	null	2.13e-34	10.4	6.6	170	null	-11.8
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	-4.98e-06	-0.0337147	-0.0337147	null	null	null	null	0	1000	1	-0.0490618	42.1	42	1965	3.09	1.2617	0.669012	-0.347114	62.9503	23.0694	-11.9695	null	null	null	null	1	null	null	null	62.6	62	64	63	null	null	null	0.605522	5.16	23.1	-12	null	63.3	63	1965	6.4	1.68009	1.23641	6.17287	68.8747	1.76281	8.80098	null	null	null	null	1	1	null	1	75	76	64	63	null	null	null	4.65e-06	9.67	1.76	8.8	null	0
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.881036	0.881036	1	null	null	null	-0.188	0.051	0.000225	0.881077	42.5	42	1979	3.43	1.2617	18.4345	1198.66	62.9503	187.726	12206.4	null	null	null	null	1	1	null	1	1260	1241	64	59	1	null	null	6.69e-56	142	188	12200	null	63.4	63	1979	6.42	1.68009	24.3632	1639.04	68.8747	117.622	7913.04	null	null	null	null	1	1	null	1	1710	1686	64	59	null	null	null	9.51e-57	187	118	7910	null	-3.69
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.40139	0.40139	1	null	null	null	-0.63	0.0676	1.22e-20	0.402636	42.6	42	1999	3.43	1.2617	4.98578	312.532	62.9503	53.3191	3342.29	null	null	null	null	1	1	null	1	375	368.5	64	58	2	null	null	2.34e-54	38	53.3	3340	null	63.7	64	1999	6.55	1.68009	2.04873	170.436	68.8747	9.41849	783.533	null	null	null	null	1	1	null	1	239	239.5	64	58	2	2	null	3.27e-62	15.5	9.42	784	null	-9.32
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	0.205549	0.205549	1	null	null	null	0.396	0.0573	5.17e-12	0.204978	42.5	42	2011	3.44	1.2617	0.967466	27.1704	62.9503	9.78805	274.888	null	null	null	null	1	1	null	1	90.1	90	64	58	3	1	null	2.92e-36	7.27	9.79	275	null	63.9	64	2011	6.68	1.68009	2.97165	140.642	68.8747	14.4405	683.444	null	null	null	null	1	1	null	1	210	211.5	64	58	1	null	null	8.66e-48	22.6	14.4	683	null	6.9
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.0898836	0.0898836	1	null	null	null	-0.0262	0.0511	0.608	0.0848184	42.3	42	1994	3.41	1.2617	0.966632	17.8202	62.9503	9.8827	182.191	null	null	null	null	1	1	null	1	80.8	80	64	61	null	null	null	3.89e-27	7.45	9.88	182	null	64	64	1994	6.73	1.68009	1.65018	35.6662	68.8747	7.93532	171.51	null	null	null	null	1	1	null	1	105	104	64	61	null	null	null	1.48e-30	12.8	7.94	172	null	-0.513
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.0395895	0.0395895	1	null	null	null	-0.0621	0.0494	0.209	0.0385889	42.2	42	1932	3.03	1.2617	2.25009	161.966	62.9503	24.0699	1732.61	null	null	null	null	1	1	null	1	225	224.5	64	60	1	null	null	1.24e-59	17.4	24.1	1730	null	63.9	64	1932	6.61	1.68009	4.2719	326.775	68.8747	19.6332	1501.83	null	null	null	null	1	1	null	1	396	396.5	64	60	null	null	null	5.87e-61	33	19.6	1500	null	-1.26
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.102226	0.102226	1	null	null	null	0.603	0.0663	9.89e-20	0.101055	42.1	42	1919	3.15	1.2617	1.20228	30.764	62.9503	12.2024	312.237	null	null	null	null	1	1	null	1	93.7	91.5	64	56	null	null	null	6.55e-33	8.92	12.2	312	null	63.6	63	1919	6.38	1.68009	4.20885	258.465	68.8747	20.3877	1252.01	null	null	null	null	1	1	null	1	327	326.5	64	56	4	null	null	1.48e-52	31.5	20.4	1250	null	9.09
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	-3.07e-06	0.0557508	0.0557508	null	null	null	null	0	1000	1	0.0418387	42.4	42	1971	3.37	1.2617	0.623156	-1.1634	62.9503	21.4882	-40.1175	null	null	null	null	1	null	null	null	61.8	62	64	61	1	1	null	0.0662077	4.71	21.5	-40.1	null	63.9	64	1971	6.5	1.68009	1.09973	4.94493	68.8747	1.56794	7.05023	null	null	null	null	1	1	null	1	73.8	74	64	61	1	null	null	2.94e-05	8.43	1.57	7.05	null	0
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.113992	0.113992	1	null	null	null	-0.24	0.0524	4.81e-06	0.111202	42.6	42	1964	3.52	1.2617	1.17764	61.7164	62.9503	11.9293	625.178	null	null	null	null	1	1	null	1	125	124	64	60	3	null	null	1.56e-52	9.04	11.9	625	null	64.1	64	1964	6.9	1.68009	2.16083	74.1753	68.8747	10.4873	360	null	null	null	null	1	1	null	1	143	145	64	60	null	null	null	3.34e-41	16.7	10.5	360	null	-4.57
