 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	-0.0888533	-0.0888533	1	null	null	null	-1.92	0.155	5.03e-35	-0.0971958	41.7	42	2277	3.09	2.08689	5.16946	355.243	51.2241	72.0263	4949.61	null	null	null	null	1	1	null	1	406	405	66	60	null	null	null	3.12e-58	40	72	4950	null	68.3	68	2277	7.03	1.89216	1.1643	6.70679	70.5265	10.3432	59.5806	null	1	null	null	1	1	null	1	77.2	77	66	60	2	null	null	2.6e-07	8.84	10.3	59.6	null	-12.3
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	1.27e-05	0.0697475	0.0697475	null	null	null	null	0	1000	1	0.00977301	42.2	42	1960	3.09	2.08689	0.574773	-1.82406	51.2241	15.681	-49.7644	null	null	null	null	1	null	null	null	49.4	49	66	55	1	null	null	0.00213606	3.81	15.7	-49.8	null	68.1	68	1960	7.11	1.89216	1.0709	0.49164	70.5265	4.85856	2.23051	null	1	null	null	1	null	null	null	71	70	66	55	3	null	null	0.647847	7.75	4.86	2.23	null	0
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.866452	0.866452	1	null	null	null	-0.237	0.0521	5.58e-06	0.866476	42.6	43	1995	3.45	2.08689	33.4402	1830.48	51.2241	402.479	22031.2	null	null	null	null	1	1	null	1	1880	1812	66	57	1	null	null	2.54e-50	252	402	22000	null	68.1	68	1995	7.15	1.89216	21.4043	1242.49	70.5265	220.122	12777.8	null	null	null	null	1	1	null	1	1310	1300	66	57	null	null	null	9.92e-52	162	220	12800	null	-4.54
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.289678	0.289678	1	null	null	null	0.695	0.0711	1.37e-22	0.291729	42.7	43	1961	3.48	2.08689	1.41405	63.6688	51.2241	19.2756	867.9	null	null	null	null	1	1	null	1	115	112.5	66	56	1	null	null	2.99e-47	10.4	19.3	868	null	67.7	68	1961	6.81	1.89216	9.20429	473.866	70.5265	83.5764	4302.78	null	null	null	null	1	1	null	1	544	541	66	56	1	null	null	2.9e-48	68.9	83.6	4300	null	9.78
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	-0.0500062	-0.0500062	1	null	null	null	-0.221	0.0521	2.19e-05	-0.0752436	42.7	43	1998	3.52	2.08689	1.16401	35.2675	51.2241	15.7805	478.119	null	null	null	null	1	1	null	1	86.5	87	66	59	null	null	null	1.22e-39	8.72	15.8	478	null	67.9	68	1998	7	1.89216	1.44372	31.4565	70.5265	13.1813	287.2	null	null	null	null	1	1	null	1	102	100	66	59	null	null	null	1.67e-30	10.9	13.2	287	null	-4.24
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.0559641	0.0559641	1	null	null	null	0.0723	0.0535	0.176	0.0130088	42.4	42	1977	3.51	2.08689	0.658065	7.86522	51.2241	9.26745	110.765	null	null	null	null	1	1	null	1	59.1	59	66	56	2	null	null	5.37e-19	4.53	9.27	111	null	67.7	68	1977	6.76	1.89216	1.29593	14.8842	70.5265	11.3901	130.819	null	null	null	null	1	1	null	1	85.4	87	66	56	1	null	null	1.21e-16	9.54	11.4	131	null	1.35
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.0235229	0.0235229	1	null	null	null	0.116	0.0499	0.02	0.015267	42.4	42	2013	3.46	2.08689	1.50924	73.8268	51.2241	21.0007	1027.28	null	null	null	null	1	1	null	1	125	123	66	59	1	1	null	6.31e-51	11.4	21	1030	null	67.9	68	2013	6.96	1.89216	2.92802	150.88	70.5265	26.0456	1342.13	null	null	null	null	1	1	null	1	221	220	66	59	null	null	null	1.35e-50	22.4	26	1340	null	2.33
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.132747	0.132747	1	null	null	null	-0.706	0.0717	7.21e-23	0.1262	42.5	42	1993	3.46	2.08689	2.67949	136.097	51.2241	37.5817	1908.86	null	null	null	null	1	1	null	1	187	185.5	66	56	1	null	null	1.52e-48	20	37.6	1910	null	67.5	67	1993	6.69	1.89216	1.68816	42.5627	70.5265	14.8979	375.615	null	null	null	null	1	1	null	1	113	112	66	56	2	null	null	1.2e-32	12.5	14.9	376	null	-9.84
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	7.03e-06	0.0632512	0.0632512	null	null	null	null	-0.445	1.62	0.783	-0.00920132	42.6	42	1998	3.45	2.08689	0.58668	0.214534	51.2241	13.5733	4.9634	null	null	null	null	1	null	null	null	51.4	51	66	57	1	null	null	0.715553	3.98	13.6	4.96	null	67.4	67	1998	6.96	1.89216	0.90148	0.333107	70.5265	4.82291	1.78212	null	null	null	null	1	null	null	null	70.9	71	66	57	null	null	null	0.712967	6.57	4.82	1.78	null	-0.275
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.0376863	0.0376863	1	null	null	null	-0.373	0.0563	3.61e-11	0.0264417	42.6	42	2005	3.49	2.08689	1.76384	87.3353	51.2241	24.7553	1225.74	null	null	null	null	1	1	null	1	139	138	66	59	1	null	null	1.13e-50	13.4	24.8	1230	null	67.3	67	2005	6.9	1.89216	1.8193	58.9311	70.5265	16.0447	519.724	null	null	null	null	1	1	null	1	129	132	66	59	null	null	null	1.11e-39	13.9	16	520	null	-6.62
