 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	0.114194	0.114194	1	null	null	null	-1.8	0.146	9.02e-35	0.114944	41.7	42	2353	3.51	1.0879	5.59716	278.694	64.2514	130.699	6507.78	null	null	null	null	1	1	null	1	343	331	65	55	1	null	null	7.49e-47	41.5	131	6510	null	58.9	59	2353	6.43	1.26811	1.72668	20.2793	79.9389	8.7504	102.771	null	null	null	null	1	1	null	1	100	101	65	55	3	null	null	1.32e-16	12.8	8.75	103	null	-12.3
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	6.95e-06	0.169525	0.169525	null	null	null	null	0	1000	1	0.176822	41.8	42	1943	3.2	1.0879	0.680901	-0.0382536	64.2514	3.79261	-0.213072	null	null	null	null	1	null	null	null	64.2	63	65	61	null	null	null	0.95537	5.21	3.79	-0.213	null	59.1	59	1943	6.3	1.26811	1.32504	7.73328	79.9389	28.1511	164.297	null	null	null	1	1	1	null	1	87.7	88	65	61	null	null	null	2.13e-07	10.3	28.2	164	null	0
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.834766	0.834766	1	null	null	null	-0.0155	0.0491	0.752	0.834922	41.8	42	1975	3.47	1.0879	7.41561	483.977	64.2514	184.692	12053.9	null	null	null	null	1	1	null	1	548	544	65	57	5	null	null	1.48e-54	56	185	12100	null	59.1	59	1975	6.11	1.26811	34.8694	2447.89	79.9389	165.677	11630.8	null	null	null	null	1	1	null	1	2530	2474	65	57	null	null	null	2.77e-56	263	166	11600	null	-0.316
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.761557	0.761557	1	null	null	null	-0.258	0.0526	9.78e-07	0.761887	41.9	42	1964	3.55	1.0879	5.44706	273.231	64.2514	130.299	6535.95	null	null	null	null	1	1	null	1	337	335	65	58	1	null	null	6.72e-49	41.5	130	6540	null	59.1	59	1964	6.01	1.26811	12.35	729.958	79.9389	61.0955	3611.1	null	null	null	null	1	1	null	1	810	798.5	65	58	null	null	null	7.45e-53	94	61.1	3610	null	-4.9
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	0.0289015	0.0289015	1	null	null	null	-0.162	0.0509	0.00145	0.0303898	42	42	1972	3.66	1.0879	0.896114	20.5961	64.2514	21.1525	486.164	null	null	null	null	1	1	null	1	84.8	84	65	59	3	null	null	1.21e-31	6.8	21.2	486	null	59	59	1972	5.97	1.26811	2.39757	66.773	79.9389	12.0197	334.752	null	null	null	null	1	1	null	1	147	145	65	59	1	null	null	1.88e-35	18.4	12	335	null	-3.18
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	-0.0113568	-0.0113568	null	null	null	null	0.0793	0.0649	0.222	-0.00928837	41.9	42	1883	3.23	1.0879	0.751466	5.33196	64.2514	17.1222	121.489	null	null	null	null	1	1	null	1	69.6	69.5	65	60	2	null	null	1.37e-09	5.73	17.1	121	null	59	59	1883	6.16	1.26811	1.34968	28.0778	79.9389	7.00971	145.826	null	null	null	null	1	1	null	1	108	107.5	65	60	null	null	null	2.72e-29	10.4	7.01	146	null	1.22
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.186551	0.186551	1	null	null	null	-0.0204	0.0492	0.679	0.187665	41.9	42	1962	3.58	1.0879	1.58671	71.5304	64.2514	36.7546	1656.93	null	null	null	null	1	1	null	1	136	135	65	55	1	2	null	5.38e-45	11.7	36.8	1660	null	59.1	59	1962	6.08	1.26811	4.53534	309.479	79.9389	23.1695	1581.02	null	null	null	null	1	1	null	1	389	393	65	55	null	null	null	3.46e-54	33.6	23.2	1580	null	-0.414
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.183492	0.183492	1	null	null	null	-0.574	0.0649	9.34e-19	0.185074	41.8	42	1959	3.57	1.0879	1.68192	57.765	64.2514	39.735	1364.68	null	null	null	null	1	1	null	1	122	120	65	61	null	null	null	1.64e-41	13.1	39.7	1360	null	58.9	59	1959	6.06	1.26811	2.37429	72.7169	79.9389	11.8929	364.24	null	null	null	null	1	1	null	1	153	153	65	61	1	null	null	1.51e-38	18.5	11.9	364	null	-8.84
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	2.46e-05	-0.135048	-0.135048	null	null	null	null	0	1000	1	-0.136468	41.9	42	2002	3.74	1.0879	0.593243	-1.88295	64.2514	3.30436	-10.488	null	null	null	null	1	null	null	null	62.4	62	65	57	1	1	null	0.00233934	4.36	3.3	-10.5	null	58.8	59	2002	6.11	1.26811	1.13119	2.34185	79.9389	24.0327	49.7536	null	null	null	null	1	null	null	null	82.3	81	65	57	2	null	null	0.0428752	8.46	24	49.8	null	0
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.189028	0.189028	1	null	null	null	-0.0445	0.0494	0.368	0.191168	42	42	2002	3.7	1.0879	1.20766	24.1107	64.2514	28.7192	573.374	null	null	null	null	1	1	null	1	88.4	89	65	58	null	null	null	8.8e-28	9.14	28.7	573	null	58.6	58	2002	6.25	1.26811	2.89181	104.009	79.9389	14.39	517.565	null	null	null	null	1	1	null	1	184	188	65	58	2	null	null	4.9e-41	22	14.4	518	null	-0.899
1	1	1	11	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000501	null	0.20906	0.20906	1	null	null	null	0.23	0.052	1.01e-05	0.21135	42	42	1914	3.29	1.0879	1.1219	27.9383	64.2514	26.1445	651.068	null	null	null	null	1	1	null	1	92.2	93	65	58	1	null	null	6.92e-33	8.48	26.1	651	null	58.8	59	1914	6.38	1.26811	3.66703	217.509	79.9389	18.6212	1104.51	null	null	null	null	1	1	null	1	297	295	65	58	null	null	null	4.51e-53	27.9	18.6	1100	null	4.41
1	1	1	12	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000551	null	0.26805	0.26805	1	null	null	null	-0.0116	0.0492	0.814	0.269115	41.9	42	1919	3.25	1.0879	1.78042	71.7653	64.2514	41.2347	1662.09	null	null	null	null	1	1	null	1	136	135.5	65	60	1	null	null	5.4e-45	13.8	41.2	1660	null	59.2	59	1919	6.38	1.26811	6.27615	316.728	79.9389	32.0681	1618.32	null	null	null	null	1	1	null	1	397	397	65	60	null	null	null	2.78e-50	48.6	32.1	1620	null	-0.236
1	1	1	13	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000601	null	0.525266	0.525266	1	null	null	null	0.0144	0.0492	0.769	0.526633	41.9	42	1927	3.2	1.0879	2.17184	86.2076	64.2514	50.1785	1991.76	null	null	null	null	1	1	null	1	150	148	65	61	null	null	null	5.2e-45	16.9	50.2	1990	null	59.2	59	1927	6.27	1.26811	6.08973	402.028	79.9389	31.1909	2059.14	null	null	null	null	1	1	null	1	482	480	65	61	2	null	null	8.77e-58	47.5	31.2	2060	null	0.294
1	1	1	14	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000651	null	0.240205	0.240205	1	null	null	null	-0.251	0.0525	1.73e-06	0.241439	41.9	42	1966	3.55	1.0879	1.77168	78.4266	64.2514	41.0181	1815.74	null	null	null	null	1	1	null	1	143	143	65	59	2	null	null	8.78e-47	13.6	41	1820	null	59.1	59	1966	5.98	1.26811	3.88721	199.315	79.9389	19.8687	1018.76	null	null	null	null	1	1	null	1	279	276	65	59	2	null	null	3.93e-50	29.8	19.9	1020	null	-4.78
1	1	1	15	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000701	null	0.35875	0.35875	1	null	null	null	-0.299	0.0539	2.69e-08	0.360848	41.9	42	1969	3.55	1.0879	1.58754	59.1455	64.2514	36.8973	1374.65	null	null	null	null	1	1	null	1	123	122	65	63	null	null	null	1.39e-44	12.6	36.9	1370	null	59	59	1969	6.05	1.26811	3.46521	135.474	79.9389	17.6433	689.772	null	null	null	null	1	1	null	1	215	213	65	63	null	null	null	1.59e-45	27.5	17.6	690	null	-5.56
1	1	1	16	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000751	null	-0.0764873	-0.0764873	null	null	null	null	-0.261	0.292	0.372	-0.0759451	41.8	42	1973	3.54	1.0879	0.599707	2.17456	64.2514	8.69486	31.5278	null	null	null	null	1	1	null	null	66.4	66.5	65	54	3	1	null	0.000603718	4.29	8.69	31.5	null	59	59	1973	6.05	1.26811	1.2561	2.1167	79.9389	10.2523	17.2765	null	null	null	null	1	null	null	null	82.1	80.5	65	54	1	null	null	0.097661	9.16	10.3	17.3	null	-0.893
1	1	1	17	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000801	null	0.293324	0.293324	1	null	null	null	0.168	0.0508	0.000955	0.29644	41.8	42	2000	3.62	1.0879	1.05868	23.2486	64.2514	25.0862	550.894	null	null	null	null	1	1	null	1	87.5	87	65	56	1	null	null	1.93e-29	7.86	25.1	551	null	59.2	59	2000	6.25	1.26811	4.3315	162.311	79.9389	21.6316	810.584	null	null	null	null	1	1	null	1	242	238.5	65	56	4	null	null	6.48e-41	32.4	21.6	811	null	3.3
1	1	1	18	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000851	null	0.475843	0.475843	1	null	null	null	-0.138	0.0502	0.0061	0.479547	41.8	42	1968	3.61	1.0879	1.27049	48.3986	64.2514	29.541	1125.35	null	null	null	null	1	1	null	1	113	112	65	60	2	null	null	6.5e-44	9.79	29.5	1130	null	59.2	59	1968	6.02	1.26811	3.52647	161.028	79.9389	17.9477	819.536	null	null	null	null	1	1	null	1	241	239	65	60	2	null	null	7.15e-48	27.3	17.9	820	null	-2.74
1	1	1	19	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000901	null	-0.0764981	-0.0764981	null	null	null	null	-2	1000	1	-0.0758212	41.9	42	1991	3.57	1.0879	1.02478	24.9767	64.2514	5.70801	139.12	null	null	null	null	1	1	null	1	89.2	89	65	57	1	1	null	3.72e-32	7.67	5.71	139	null	59.2	59	1991	5.93	1.26811	0.95855	-6.5178	79.9389	20.3648	-138.474	null	null	null	null	1	null	null	null	73.4	72	65	57	2	null	null	5.86e-09	7.14	20.4	-138	null	0
