 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	0.178409	0.178409	1	null	null	null	-1.14	0.0986	6.45e-31	0.175476	40.9	41	2284	3.09	1.41976	3.56355	304.147	57.8848	35.9993	3072.52	null	null	null	null	1	1	null	1	362	358	65	62	1	null	null	2e-65	28	36	3070	null	62.8	63	2284	6.4	2.52672	2.0329	56.8217	68.9686	7.95911	222.466	null	null	null	null	1	1	null	1	126	123	65	62	1	null	null	1.44e-37	15.8	7.96	222	null	-11.6
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	1.62e-05	0.0642036	0.0642036	null	null	null	null	-0.383	0.491	0.436	0.0151155	41.2	41	2021	3.41	1.41976	0.612232	0.555858	57.8848	15.3865	13.9698	null	null	null	null	1	null	null	null	58.4	58	65	59	1	1	null	0.367106	4.5	15.4	14	null	62.9	63	2021	6.46	2.52672	1.23575	3.67543	68.9686	1.94476	5.78421	null	null	null	null	1	1	null	null	72.6	72	65	59	null	null	null	0.0040994	9.18	1.94	5.78	null	-0.78
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.855048	0.855048	1	null	null	null	0.0105	0.0491	0.831	0.855068	41.3	41	2014	3.42	1.41976	14.9858	1085.79	57.8848	147.096	10657.8	null	null	null	null	1	1	null	1	1140	1131	65	61	null	null	null	3.92e-60	117	147	10700	null	62.9	63	2014	6.71	2.52672	32.6317	2709.62	68.9686	131.486	10918.1	null	null	null	null	1	1	null	1	2780	2735	65	61	1	null	null	1.2e-63	255	131	10900	null	0.213
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.591303	0.591303	1	null	null	null	0.186	0.051	0.00026	0.591222	41	41	1945	3.12	1.41976	3.66441	267.466	57.8848	35.8918	2619.74	null	null	null	null	1	1	null	1	325	322	65	57	1	null	null	2.02e-57	27.6	35.9	2620	null	62.9	63	1945	6.74	2.52672	9.61346	996.084	68.9686	38.8195	4022.22	null	null	null	null	1	1	null	1	1070	1050	65	57	4	null	null	8.69e-66	72.5	38.8	4020	null	3.65
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	0.178024	0.178024	1	null	null	null	0.0368	0.0495	0.458	0.169511	41.2	41	2019	3.4	1.41976	1.11952	40.2627	57.8848	11.8607	426.562	null	null	null	null	1	1	null	1	98.1	98	65	61	1	null	null	9.96e-44	8.63	11.9	427	null	63	63	2019	6.67	2.52672	2.92833	124.359	68.9686	10.9321	464.259	null	null	null	null	1	1	null	1	193	193	65	61	null	1	null	3.2e-47	22.7	10.9	464	null	0.743
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.0176278	0.0176278	1	null	null	null	0.0306	0.0517	0.553	-0.0217296	41	41	1935	3.17	1.41976	0.732641	13.1866	57.8848	8.35375	150.357	null	null	null	null	1	1	null	1	71.1	70.5	65	56	null	null	null	2.99e-26	5.32	8.35	150	null	62.6	63	1935	6.35	2.52672	1.35877	46.5135	68.9686	4.71321	161.343	null	null	null	null	1	1	null	1	115	115.5	65	56	4	3	null	1.3e-41	9.89	4.71	161	null	0.593
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.212489	0.212489	1	null	null	null	0.013	0.0492	0.792	0.210248	41	41	1929	3.16	1.41976	2.34814	173.822	57.8848	23.3612	1729.32	null	null	null	null	1	1	null	1	232	231	65	58	null	null	null	7.59e-59	17.8	23.4	1730	null	62.4	62	1929	6.41	2.52672	4.97768	448.169	68.9686	19.7887	1781.69	null	null	null	null	1	1	null	1	517	517.5	65	58	2	2	null	1.53e-63	37.8	19.8	1780	null	0.264
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.172706	0.172706	1	null	null	null	-0.346	0.0554	4.38e-10	0.166298	41	41	1934	3.19	1.41976	1.41509	94.6915	57.8848	14.5029	970.464	null	null	null	null	1	1	null	1	153	153	65	59	1	null	null	6.03e-58	10.8	14.5	970	null	62.4	62	1934	6.52	2.52672	3.15017	113.455	68.9686	12.157	437.84	null	null	null	null	1	1	null	1	182	180	65	59	1	null	null	6.1e-42	24.1	12.2	438	null	-6.24
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	7.78e-06	0.0406074	0.0406074	null	null	null	null	-0.344	0.233	0.14	-0.00317154	40.9	41	1951	3.15	1.41976	0.675066	1.3374	57.8848	13.6474	27.0374	null	null	null	null	1	null	null	null	59.2	59	65	63	null	null	null	0.0514479	5.17	13.6	27	null	62.3	62	1951	6.55	2.52672	1.29105	6.25359	68.9686	2.5258	12.2345	null	null	null	null	1	1	null	null	75.2	75	65	63	null	null	null	7.41e-06	9.94	2.53	12.2	null	-1.48
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	-0.166547	-0.166547	1	null	null	null	0.0391	0.0494	0.429	-0.177958	41	41	1979	3.12	1.41976	1.20939	57.9255	57.8848	12.445	596.072	null	null	null	null	1	1	null	1	116	115	65	58	2	null	null	3.3e-49	9.11	12.4	596	null	62.5	62	1979	6.64	2.52672	3.55647	169.687	68.9686	13.6694	652.198	null	null	null	null	1	1	null	1	239	240	65	58	null	null	null	3.55e-48	27	13.7	652	null	0.792
