 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	0.147465	0.147465	1	null	null	null	-0.955	0.0865	2.4e-28	0.145462	40.1	40	2308	3.13	1.45544	3.58687	266.294	59.3128	37.4673	2781.62	null	null	null	null	1	1	null	1	326	323	60	56	1	null	null	4.45e-57	26.8	37.5	2780	null	63.3	63	2308	6.33	1.73648	2.05126	67.8958	69.247	9.32418	308.626	null	null	null	null	1	1	null	1	137	135.5	60	56	5	null	null	1.32e-38	15.3	9.32	309	null	-11
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	-8.19e-09	0.0555432	0.0555432	null	null	null	null	-0.221	0.208	0.288	0.0250122	40.3	40	1984	3.27	1.45544	0.744388	1.91526	59.3128	8.46929	21.7909	null	null	null	null	1	null	null	null	61.2	60	60	57	null	null	null	0.0124281	5.44	8.47	21.8	null	63.1	63	1984	6.44	1.73648	0.948209	3.13892	69.247	3.95715	13.0996	null	null	null	null	1	1	null	null	72.4	73	60	57	2	1	null	0.00154901	6.96	3.96	13.1	null	-1.06
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.830388	0.830388	1	null	null	null	-0.201	0.0513	9.19e-05	0.830412	40.7	41	1965	3.3	1.45544	20.0966	1193.3	59.3128	208.627	12387.8	null	null	null	null	1	1	null	1	1250	1203	60	59	1	null	null	1.2e-53	154	209	12400	null	63.4	63	1965	6.47	1.73648	27.3958	1706.77	69.247	125.303	7806.46	null	null	null	null	1	1	null	1	1780	1744	60	59	null	null	null	7.73e-55	210	125	7810	null	-3.91
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.592673	0.592673	1	null	null	null	-0.196	0.0512	0.00013	0.592748	40.8	41	1938	3.15	1.45544	5.40087	329.365	59.3128	54.3579	3314.95	null	null	null	null	1	1	null	1	389	380	60	59	2	null	null	2.12e-54	41.5	54.4	3310	null	63.4	63	1938	6.55	1.73648	6.01137	447.55	69.247	28.3597	2111.39	null	null	null	null	1	1	null	1	517	522	60	59	1	null	null	2.16e-59	46.1	28.4	2110	null	-3.83
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	0.125293	0.125293	1	null	null	null	0.139	0.0506	0.00598	0.1158	41	41	1928	3.15	1.45544	0.835255	29.6676	59.3128	8.5009	301.945	null	null	null	null	1	1	null	1	89	89	60	51	6	null	null	8.9e-40	5.81	8.5	302	null	63.7	64	1928	6.46	1.73648	2.06128	89.1843	69.247	9.61652	416.072	null	null	null	null	1	1	null	1	158	159	60	51	4	1	null	5.48e-42	14.6	9.62	416	null	2.75
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	-0.1888	-0.1888	1	null	null	null	-0.0126	0.0507	0.805	-0.210003	40.9	41	1949	3.17	1.45544	0.939665	19.2126	59.3128	9.64289	197.161	null	null	null	null	1	1	null	1	78.5	79	60	59	1	null	null	1.84e-29	7.07	9.64	197	null	63.8	64	1949	6.5	1.73648	1.60867	41.397	69.247	7.44318	191.541	null	null	null	null	1	1	null	1	111	110	60	59	null	null	null	3.25e-34	12.2	7.44	192	null	-0.248
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.304709	0.304709	1	null	null	null	-0.0375	0.0492	0.446	0.304064	40.8	41	1939	3.17	1.45544	2.26855	167.474	59.3128	23.6895	1748.86	null	null	null	null	1	1	null	1	227	227	60	61	1	null	null	3.06e-61	17.7	23.7	1750	null	64	64	1939	6.7	1.73648	4.99223	352.786	69.247	22.6993	1604.09	null	null	null	null	1	1	null	1	422	424	60	61	1	null	null	1.17e-59	39	22.7	1600	null	-0.762
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.250347	0.250347	1	null	null	null	0.25	0.0528	2.13e-06	0.247418	40.8	41	1960	3.37	1.45544	1.06448	30.2126	59.3128	10.8365	307.567	null	null	null	null	1	1	null	1	89.5	89	60	59	1	null	null	3.97e-37	8.05	10.8	308	null	63.6	63	1960	6.64	1.73648	2.79468	117.295	69.247	13.0349	547.086	null	null	null	null	1	1	null	1	187	187	60	59	1	1	null	1.66e-45	21.4	13	547	null	4.74
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	9.36e-06	0.0983624	0.0983624	null	null	null	null	0.558	1.1	0.614	0.0673317	40.7	41	1960	3.39	1.45544	0.648273	0.253857	59.3128	7.78857	3.04993	null	null	null	null	1	null	null	null	59.6	59	60	60	1	null	null	0.696555	4.81	7.79	3.05	null	63.9	64	1960	6.46	1.73648	0.978561	2.78629	69.247	3.86736	11.0116	null	null	null	null	1	1	null	null	72	72	60	60	1	null	null	0.0058823	7.38	3.87	11	null	0.505
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.0525348	0.0525348	1	null	null	null	-0.0561	0.0495	0.257	0.047613	40.7	41	1983	3.34	1.45544	1.52432	62.042	59.3128	15.4345	628.205	null	null	null	null	1	1	null	1	121	121	60	62	null	1	null	6.8e-47	11.9	15.4	628	null	63.8	64	1983	6.45	1.73648	2.72351	117.737	69.247	12.7714	552.107	null	null	null	null	1	1	null	1	187	189.5	60	62	null	null	null	6.42e-48	21.4	12.8	552	null	-1.13
