 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	0.0776441	0.0776441	1	null	null	null	-1.05	0.0929	7.55e-30	0.076002	41.7	42	2339	3.52	1.40346	5.48163	300.192	63.3362	48.224	2640.9	null	null	null	null	1	1	null	1	364	358	68	53	3	null	null	9.96e-48	39.9	48.2	2640	null	59.1	59	2339	6.06	1.51639	1.44068	28.3846	63.0494	11.8324	233.125	null	null	null	null	1	1	null	1	91.4	91	68	53	1	1	null	3.01e-26	10.4	11.8	233	null	-11.3
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	1.28e-05	0.101943	0.101943	null	null	null	null	1.02	1.37	0.457	0.0735057	41.7	42	1970	3.53	1.40346	0.573798	0.180423	63.3362	7.00974	2.20412	null	null	null	null	1	null	null	null	63.5	64	68	60	1	1	null	0.754119	4.24	7.01	2.2	null	59	59	1970	6.23	1.51639	0.957816	3.9173	63.0494	5.66498	23.1688	null	null	null	null	1	1	null	null	67	66	68	60	null	null	null	0.000123815	7.28	5.66	23.2	null	0.743
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.88909	0.88909	1	null	null	null	-0.157	0.0505	0.0018	0.889114	41.7	42	1970	3.51	1.40346	38.6525	2014.19	63.3362	306.272	15959.9	null	null	null	null	1	1	null	1	2080	2022	68	59	2	null	null	2.06e-50	297	306	16000	null	59.1	59	1970	6.21	1.51639	19.4933	1217.92	63.0494	177.752	11105.7	null	null	null	null	1	1	null	1	1280	1261	68	59	null	null	null	6.54e-55	150	178	11100	null	-3.12
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.804676	0.804676	1	null	null	null	0.164	0.0506	0.00119	0.804751	41.8	42	1988	3.55	1.40346	8.79172	485.071	63.3362	73.1764	4037.4	null	null	null	null	1	1	null	1	548	530	68	59	2	null	null	7.5e-52	67.5	73.2	4040	null	59.1	59	1988	6.15	1.51639	11.2384	678.408	63.0494	97.5584	5889.16	null	null	null	null	1	1	null	1	741	719	68	59	2	null	null	4.52e-54	86.3	97.6	5890	null	3.24
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	0.23786	0.23786	1	null	null	null	0.256	0.0528	1.28e-06	0.234979	41.7	42	1993	3.56	1.40346	1.37472	38.325	63.3362	12.4213	346.286	null	null	null	null	1	1	null	1	102	100.5	68	62	null	null	null	4.12e-37	10.7	12.4	346	null	59.2	59	1993	6.24	1.51639	2.47847	78.0635	63.0494	19.8194	624.245	null	null	null	null	1	1	null	1	141	140.5	68	62	null	null	null	1.02e-39	19.5	19.8	624	null	4.84
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.0915673	0.0915673	1	null	null	null	-0.0497	0.0507	0.327	0.0816494	41.8	42	2004	3.55	1.40346	1.00546	22.9812	63.3362	9.55175	218.318	null	null	null	null	1	1	null	1	86.3	86	68	63	null	null	null	5.73e-33	7.87	9.55	218	null	59.4	59	2004	6.2	1.51639	1.5487	25.6014	63.0494	11.779	194.718	null	null	null	null	1	1	null	1	88.7	88	68	63	null	null	null	9.69e-25	12.2	11.8	195	null	-0.98
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.00888051	0.00888051	1	null	null	null	-0.00329	0.0492	0.947	0.0071282	41.8	42	1980	3.56	1.40346	2.73584	178.397	63.3362	24.117	1572.61	null	null	null	null	1	1	null	1	242	241	68	60	null	null	null	5.1e-57	21.2	24.1	1570	null	58.9	59	1980	6.03	1.51639	3.74123	190.417	63.0494	30.6649	1560.75	null	null	null	null	1	1	null	1	253	254	68	60	null	null	null	1.26e-50	28.9	30.7	1560	null	-0.0669
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.0769284	0.0769284	1	null	null	null	0.611	0.0667	5.41e-20	0.0741484	41.9	42	1981	3.63	1.40346	1.27305	42.7471	63.3362	11.201	376.112	null	null	null	null	1	1	null	1	106	107	68	60	null	null	null	4.15e-41	9.77	11.2	376	null	58.8	59	1981	6.02	1.51639	4.0521	186.851	63.0494	33.2758	1534.41	null	null	null	null	1	1	null	1	250	245.5	68	60	null	null	null	4.02e-48	31.4	33.3	1530	null	9.16
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	-7.95e-06	0.064614	0.064614	null	null	null	null	0	1000	1	0.0346063	41.7	42	1978	3.56	1.40346	0.645745	-1.09063	63.3362	9.09622	-15.363	null	null	null	null	1	null	null	null	62.2	62	68	57	null	null	null	0.0960683	4.7	9.1	-15.4	null	58.9	59	1978	6.12	1.51639	0.879935	3.79274	63.0494	4.51346	19.4542	null	null	null	null	1	1	null	null	66.8	66	68	57	1	null	null	6.03e-05	6.5	4.51	19.5	null	0
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.253896	0.253896	1	null	null	null	-0.0993	0.0499	0.0465	0.250623	41.7	42	1984	3.52	1.40346	1.61067	67.9045	63.3362	14.3998	607.082	null	null	null	null	1	1	null	1	131	131	68	54	5	null	null	4.06e-43	11.8	14.4	607	null	59	59	1984	6.06	1.51639	1.9484	59.7654	63.0494	15.7467	483.015	null	null	null	null	1	1	null	1	123	123	68	54	2	null	null	7.94e-36	14.3	15.7	483	null	-1.99
1	1	1	11	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000501	null	0.399417	0.399417	1	null	null	null	-0.253	0.0526	1.5e-06	0.398853	41.9	42	1939	3.28	1.40346	3.2592	157.409	63.3362	28.6459	1383.51	null	null	null	null	1	1	null	1	221	218	68	55	1	null	null	2.7e-46	24.1	28.6	1380	null	59.4	59	1939	6.36	1.51639	2.02959	94.0234	63.0494	16.6846	772.937	null	null	null	null	1	1	null	1	157	157	68	55	1	2	null	1.08e-45	15	16.7	773	null	-4.81
1	1	1	12	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000551	null	0.352775	0.352775	1	null	null	null	-0.168	0.0507	0.000921	0.35244	42.4	42	1997	3.58	1.40346	5.10344	261.735	63.3362	44.812	2298.23	null	null	null	null	1	1	null	1	325	318	68	56	null	null	null	3.31e-48	38.2	44.8	2300	null	60.2	60	1997	6.45	1.51639	3.507	189.754	63.0494	28.8578	1561.42	null	1	null	null	1	1	null	1	253	252.5	68	56	2	null	null	1.39e-49	26.2	28.9	1560	null	-3.31
1	1	1	13	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000601	null	0.269632	0.269632	1	null	null	null	-0.0449	0.0493	0.361	0.269262	42.8	43	1996	3.56	1.40346	4.32981	287.054	63.3362	37.675	2497.74	null	null	null	null	1	1	null	1	350	349	68	59	1	null	null	1.65e-56	33.2	37.7	2500	null	61.2	61	1996	6.51	1.51639	5.91932	271.222	63.0494	49.1527	2252.16	null	1	null	null	1	1	null	1	334	333	68	59	null	null	null	2.6e-47	45.4	49.2	2250	null	-0.913
1	1	1	14	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000651	null	0.456339	0.456339	1	null	null	null	0.159	0.0505	0.00162	0.456129	42.5	42	2016	3.58	1.40346	3.28314	155.172	63.3362	28.9308	1367.36	null	null	null	null	1	1	null	1	219	216	68	61	1	null	null	2.27e-49	25.6	28.9	1370	null	61.1	61	2016	6.69	1.51639	4.74817	240.623	63.0494	38.9327	1972.99	null	1	null	null	1	1	null	1	304	293	68	61	1	null	null	4.58e-51	37.1	38.9	1970	null	3.15
1	1	1	15	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000701	null	0.438833	0.438833	1	null	null	null	0.125	0.05	0.0125	0.438197	42	42	1904	3.25	1.40346	2.44051	106.156	63.3362	21.4447	932.785	null	null	null	null	1	1	null	1	169	165	68	61	null	null	null	2.12e-47	19	21.4	933	null	60	60	1904	6.23	1.51639	2.84165	151.246	63.0494	23.3664	1243.66	null	null	null	null	1	1	null	1	214	212	68	61	1	null	null	1.59e-52	22.1	23.4	1240	null	2.5
1	1	1	16	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000751	null	0.25683	0.25683	1	null	null	null	-0.259	0.0602	1.63e-05	0.245611	41.8	42	2012	3.49	1.40346	0.999659	11.1044	63.3362	10.0785	111.955	null	null	null	null	1	1	null	1	74.4	74	68	59	2	null	null	2.47e-16	7.57	10.1	112	null	59.3	59	2012	6.33	1.51639	0.925836	8.5947	63.0494	6.6351	61.5949	null	null	null	null	1	1	null	1	71.6	71	68	59	1	null	null	2.17e-13	6.97	6.64	61.6	null	-4.31
