Array Design Name	Agendia Mammaprint 1.9k custom microarray
Version	1
Provider	Ryan van Laar (ryan.vanlaar@agendia.com)
Comment[ArrayExpressAccession]	A-MEXP-318
Comment[Description]	Custom printed 1.9k oligonucleotide microarray manufactured by Agilent Technologies Inc.
Comment[SubmittedName]	Agendia Mammaprint 1.9k custom microarray
Comment[Organism]	Homo sapiens
Printing Protocol	Microarrays were prepared by Agilent technologies using their Agilent SurePrint Technology. Breifly, 60-mer oligonucleotides are synthesized base-by-base in repetitive print layers on a solid glass substrate, using standard phosphoramidite chemistry.
Technology Type	spotted_ss_oligo_features
Technology Type Term Accession Number	spotted_ss_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	mo
Substrate Type	glass
Substrate Type Term Accession Number	#glass
Substrate Type Term Source REF	mo
Term Source Name	The MGED Ontology	mo	embl	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDOntology.php	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.ebi.ac.uk/embl/	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version				

Block Column	Block Row	Column	Row	Reporter Name	Comment[AEReporterName]	Reporter Database Entry[embl]	Reporter Database Entry[unigene]	Reporter Group[role]	Control Type
1	1	1	1	AGEN000001	Pro25G			Control	control_biosequence
1	1	2	1	AGEN000002	3xSLv1			Control	control_biosequence
1	1	13	1	AGEN000013	eQC			Control	control_biosequence
1	1	20	1	AGEN000020	eQC			Control	control_biosequence
1	1	40	1	AGEN000040	eQC			Control	control_biosequence
1	1	42	1	AGEN000042	eQC			Control	control_biosequence
1	1	48	1	AGEN000048	3xSLv1			Control	control_biosequence
1	1	49	1	AGEN000049	Pro25G			Control	control_biosequence
1	1	50	1	AGEN000050	Pro25G			Control	control_biosequence
1	1	1	2	AGEN000051	3xSLv1			Control	control_biosequence
1	1	2	2	AGEN000052	3xSLv1			Control	control_biosequence
1	1	4	2	AGEN000054	eQC			Control	control_biosequence
1	1	15	2	AGEN000065	eQC			Control	control_biosequence
1	1	39	2	AGEN000089	eQC			Control	control_biosequence
1	1	43	2	AGEN000093	eQC			Control	control_biosequence
1	1	44	2	AGEN000094	eQC			Control	control_biosequence
1	1	48	2	AGEN000098	3xSLv1			Control	control_biosequence
1	1	49	2	AGEN000099	3xSLv1			Control	control_biosequence
1	1	50	2	AGEN000100	3xSLv1			Control	control_biosequence
1	1	7	3	AGEN000107	eQC			Control	control_biosequence
1	1	45	3	AGEN000145	eQC			Control	control_biosequence
1	1	47	3	AGEN000147	eQC			Control	control_biosequence
1	1	25	4	AGEN000175	eQC			Control	control_biosequence
1	1	18	5	AGEN000218	eQC			Control	control_biosequence
1	1	23	5	AGEN000223	eQC			Control	control_biosequence
1	1	28	5	AGEN000228	eQC			Control	control_biosequence
1	1	31	5	AGEN000231	eQC			Control	control_biosequence
1	1	39	5	AGEN000239	eQC			Control	control_biosequence
1	1	22	6	AGEN000272	eQC			Control	control_biosequence
1	1	23	6	AGEN000273	eQC			Control	control_biosequence
1	1	33	6	AGEN000283	eQC			Control	control_biosequence
1	1	3	7	AGEN000303	eQC			Control	control_biosequence
1	1	10	7	AGEN000310	eQC			Control	control_biosequence
1	1	13	7	AGEN000313	eQC			Control	control_biosequence
1	1	17	7	AGEN000317	eQC			Control	control_biosequence
1	1	33	7	AGEN000333	eQC			Control	control_biosequence
1	1	37	7	AGEN000337	eQC			Control	control_biosequence
1	1	3	8	AGEN000353	Pro25G			Control	control_biosequence
1	1	6	8	AGEN000356	Pro25G			Control	control_biosequence
1	1	9	8	AGEN000359	Pro25G			Control	control_biosequence
1	1	12	8	AGEN000362	Pro25G			Control	control_biosequence
1	1	14	8	AGEN000364	eQC			Control	control_biosequence
1	1	15	8	AGEN000365	Pro25G			Control	control_biosequence
1	1	16	8	AGEN000366	eQC			Control	control_biosequence
1	1	18	8	AGEN000368	Pro25G			Control	control_biosequence
1	1	20	8	AGEN000370	eQC			Control	control_biosequence
1	1	21	8	AGEN000371	Pro25G			Control	control_biosequence
1	1	24	8	AGEN000374	Pro25G			Control	control_biosequence
1	1	27	8	AGEN000377	Pro25G			Control	control_biosequence
1	1	30	8	AGEN000380	Pro25G			Control	control_biosequence
1	1	33	8	AGEN000383	Pro25G			Control	control_biosequence
1	1	34	8	AGEN000384	eQC			Control	control_biosequence
1	1	36	8	AGEN000386	Pro25G			Control	control_biosequence
1	1	39	8	AGEN000389	Pro25G			Control	control_biosequence
1	1	42	8	AGEN000392	Pro25G			Control	control_biosequence
1	1	45	8	AGEN000395	Pro25G			Control	control_biosequence
1	1	48	8	AGEN000398	Pro25G			Control	control_biosequence
1	1	1	9	AGEN000401	3xSLv1			Control	control_biosequence
1	1	4	9	AGEN000404	3xSLv1			Control	control_biosequence
1	1	7	9	AGEN000407	3xSLv1			Control	control_biosequence
1	1	10	9	AGEN000410	3xSLv1			Control	control_biosequence
1	1	13	9	AGEN000413	3xSLv1			Control	control_biosequence
1	1	16	9	AGEN000416	3xSLv1			Control	control_biosequence
1	1	19	9	AGEN000419	3xSLv1			Control	control_biosequence
1	1	22	9	AGEN000422	3xSLv1			Control	control_biosequence
1	1	25	9	AGEN000425	3xSLv1			Control	control_biosequence
1	1	28	9	AGEN000428	3xSLv1			Control	control_biosequence
1	1	31	9	AGEN000431	3xSLv1			Control	control_biosequence
1	1	34	9	AGEN000434	3xSLv1			Control	control_biosequence
1	1	36	9	AGEN000436	eQC			Control	control_biosequence
1	1	37	9	AGEN000437	3xSLv1			Control	control_biosequence
1	1	38	9	AGEN000438	eQC			Control	control_biosequence
1	1	40	9	AGEN000440	3xSLv1			Control	control_biosequence
1	1	43	9	AGEN000443	3xSLv1			Control	control_biosequence
1	1	46	9	AGEN000446	3xSLv1			Control	control_biosequence
1	1	49	9	AGEN000449	3xSLv1			Control	control_biosequence
1	1	2	10	AGEN000452	Pro25G			Control	control_biosequence
1	1	4	10	AGEN000454	eQC			Control	control_biosequence
1	1	5	10	AGEN000455	Pro25G			Control	control_biosequence
1	1	8	10	AGEN000458	Pro25G			Control	control_biosequence
1	1	11	10	AGEN000461	Pro25G			Control	control_biosequence
1	1	13	10	AGEN000463	eQC			Control	control_biosequence
1	1	14	10	AGEN000464	Pro25G			Control	control_biosequence
1	1	17	10	AGEN000467	Pro25G			Control	control_biosequence
1	1	20	10	AGEN000470	Pro25G			Control	control_biosequence
1	1	23	10	AGEN000473	Pro25G			Control	control_biosequence
1	1	26	10	AGEN000476	Pro25G			Control	control_biosequence
1	1	29	10	AGEN000479	Pro25G			Control	control_biosequence
1	1	32	10	AGEN000482	Pro25G			Control	control_biosequence
1	1	35	10	AGEN000485	Pro25G			Control	control_biosequence
1	1	38	10	AGEN000488	Pro25G			Control	control_biosequence
1	1	41	10	AGEN000491	Pro25G			Control	control_biosequence
1	1	44	10	AGEN000494	Pro25G			Control	control_biosequence
1	1	45	10	AGEN000495	eQC			Control	control_biosequence
1	1	47	10	AGEN000497	Pro25G			Control	control_biosequence
1	1	50	10	AGEN000500	Pro25G			Control	control_biosequence
1	1	3	11	AGEN000503	eQC			Control	control_biosequence
1	1	8	11	AGEN000508	eQC			Control	control_biosequence
1	1	48	11	AGEN000548	eQC			Control	control_biosequence
1	1	14	12	AGEN000564	eQC			Control	control_biosequence
1	1	19	12	AGEN000569	eQC			Control	control_biosequence
1	1	35	12	AGEN000585	eQC			Control	control_biosequence
1	1	40	12	AGEN000590	eQC			Control	control_biosequence
1	1	3	13	AGEN000603	eQC			Control	control_biosequence
1	1	33	13	AGEN000633	eQC			Control	control_biosequence
1	1	44	13	AGEN000644	eQC			Control	control_biosequence
1	1	38	14	AGEN000688	eQC			Control	control_biosequence
1	1	16	15	AGEN000716	eQC			Control	control_biosequence
1	1	17	15	AGEN000717	eQC			Control	control_biosequence
1	1	18	15	AGEN000718	eQC			Control	control_biosequence
1	1	3	16	AGEN000753	eQC			Control	control_biosequence
1	1	5	16	AGEN000755	eQC			Control	control_biosequence
1	1	6	16	AGEN000756	eQC			Control	control_biosequence
1	1	11	16	AGEN000761	eQC			Control	control_biosequence
1	1	17	16	AGEN000767	eQC			Control	control_biosequence
1	1	39	16	AGEN000789	eQC			Control	control_biosequence
1	1	40	16	AGEN000790	eQC			Control	control_biosequence
1	1	49	16	AGEN000799	eQC			Control	control_biosequence
1	1	2	18	AGEN000852	Pro25G			Control	control_biosequence
1	1	3	18	AGEN000853	eQC			Control	control_biosequence
1	1	5	18	AGEN000855	Pro25G			Control	control_biosequence
1	1	8	18	AGEN000858	Pro25G			Control	control_biosequence
1	1	11	18	AGEN000861	Pro25G			Control	control_biosequence
1	1	14	18	AGEN000864	Pro25G			Control	control_biosequence
1	1	17	18	AGEN000867	Pro25G			Control	control_biosequence
1	1	20	18	AGEN000870	Pro25G			Control	control_biosequence
1	1	23	18	AGEN000873	Pro25G			Control	control_biosequence
1	1	25	18	AGEN000875	eQC			Control	control_biosequence
1	1	26	18	AGEN000876	Pro25G			Control	control_biosequence
1	1	29	18	AGEN000879	Pro25G			Control	control_biosequence
1	1	32	18	AGEN000882	Pro25G			Control	control_biosequence
1	1	35	18	AGEN000885	Pro25G			Control	control_biosequence
1	1	38	18	AGEN000888	Pro25G			Control	control_biosequence
1	1	41	18	AGEN000891	Pro25G			Control	control_biosequence
1	1	44	18	AGEN000894	Pro25G			Control	control_biosequence
1	1	47	18	AGEN000897	Pro25G			Control	control_biosequence
1	1	50	18	AGEN000900	Pro25G			Control	control_biosequence
1	1	1	19	AGEN000901	eQC			Control	control_biosequence
1	1	2	19	AGEN000902	eQC			Control	control_biosequence
1	1	3	19	AGEN000903	3xSLv1			Control	control_biosequence
1	1	6	19	AGEN000906	3xSLv1			Control	control_biosequence
1	1	9	19	AGEN000909	3xSLv1			Control	control_biosequence
